0,Had for 1 year 14000 miles Excellent fuel economy 2730 on all highway No mechanical problems My wife would like an adjustable passenger seat seating position too low Fit and finish second to none RL has plenty of power I use it often on steep hills I like the styling much more than the 09 grille has a richer more elegant look than the 09 Handling is great in high speed situations far superior to the TL I like the exterior design quite understated however I do see the point of someone saying it looks too much like a Honda I understand the 2011 will be a totally new car AcuraHonda really does want to compete with the best from Lexus After all is said and done would I buy it again for sure
1,Number one attribute isno wind noise The only reason you can hear the quiet tire noise is because there is no wind noise Very comfy seatsGreat tech features Not enough power especially low end torque Phenomenal handling characteristics This car will turn on a dime with good manners Fuel ecomony is poor but I dont put on so many miles that its a factor
0,This has been an excellent purchase and both my wife and I are very pleased with the car My only comment is that I feel the passenger seat should have the same power features as the drivers side  ie the seat is too low for my wife
1,I love the car It handles very well a little sluggish compared to other car MB CLK 430A but is sufficient I had a little bit of an initial quality problem HID headlight on right side burned out first day or so Car was due to go back for dealer addons so no biggy Was kinda shocked though Key fob was nightmare for first two weeks I made the mistake of initializing the car with driver 2s key rather than the 1 key the car hated that It would madly and incessantly lockunlock and beep when I stood next to the car Reinitialized the car to the driver 1 fob and it hasnt happened since
0,So far I have owned the car for a couple of months and do not regret the purchase at all I bought it for safety primarily but realized that it also has the legendary Honda quality The details of this car are incredible better than the German cars and value wise by 15 K at least also The car feels like a tank but has the power to go when needed This car has near 300hp and you feel every horse The AWD is incredible it would take a bulldozer to take it off course
1,This is my 2nd TL  love the style Also have a 2003 G35 which Im thinking of trading but in no way will I buy the new 2009 TL Its become one of the ugliest new vehicles on the road also heavier   and bloated I think acuras 25 year old 2009 vehicle designer needs some design school mentoring Also the new ZDX not only has the ugly front but it also has an asteck type rear 5 of my professional colleagues who now have Acuras will not come back to the new  gen quirky styles Too bad its really a good engineered vehicle but then so are many of its competitors The G37 stats will blow out the new TL stats  and its not UGLY Disappointed in Acura
0,Like most readers Ive driven them all but this one delivers a lot of bang for the buck Does not handle like a 5 series will not out accelerate a 550i but it handles beautifully is great on the road and has an interior and audio system that puts the 5 series and EClass to shame Put that together with Acuras reputation for reliability and we have a BIG winner
1,This car has done what I thought was impossible Its taken the fun out of driving Outward visibility is useless Its like livingdriving in a cave The allback interior is hearselike and depressing The transmission is wonky It has an impossibletoread mind of its own The suspension Dont get me started It cant decide whether its a sports car or a sedan The gas mileage is horrible Sitting at idle in heavy traffic you can watch the needle on the gas gauge slip down down down The HVAC controls are confusing
0,This car looked like a terrific value but it has not turned out that way I was looking forward to Honda Reliability but too many things just dont work well or are gimmicky Fuel economy is atrocious 1415 electronics dont work that well runflat tires are super loud there is some wind noise key fobkeyless entry never works the same twice in a row Car is pretty slow off the line but decent on the highway Ride is too much of a compromise Handling is good but the Michelin runflats are lousy performance tires in all but the correct temperature range I came out of an Audi A8 and would NOT buy this car again
1,Fun to drive but does not go well in snow Great looking interior and very comfortable The Bluetooth is very inaccurate and extremely frustrating Any noise in the car ie fan or highway throws off the voice activation of the Bluetooth No dummy light for washer fluid Cigarette lighter too close to the transmission stick DVD stereo is nice but only DVD music works and there are very few of those and they wont work on regular CD players Tire pressure indicator goes on in cold weather I had planned to keep this three years but Im going to trade it in before hand Even though I am a Honda fan our Toyota Sienna handles the detail much better than my Acura TL I wont buy another
0,We wanted an AWD sedan after a string of average SUVs This vehicle is a beauty Excellent build quality and finish It would be difficult to beat the value for money It rides smoothly and is very comfortable We are delighted with our purchase so far
