docid,year,num_reviews,overall_rating
acura_mdx,2008,106,8.71
acura_rdx,2008,66,8.8
acura_rl,2008,18,9.1
acura_tl,2008,113,8.98
acura_tsx,2008,53,9.17
audi_a3,2008,28,9.05
audi_a4,2008,37,8.9
audi_a5,2008,24,9.58
audi_a6,2008,26,9.37
audi_q7,2008,18,8.79
audi_rs4,2008,12,9.03
audi_s5,2008,13,9.26
audi_tt,2008,32,9.41
bmw_1_series,2008,58,9.14
bmw_3_series,2008,140,9.15
bmw_5_series,2008,126,9.05
bmw_7_series,2008,14,9
bmw_m3,2008,17,9.51
bmw_x3,2008,24,8.23
bmw_x5,2008,48,8.65
bmw_x6,2008,13,8.85
buick_enclave,2008,206,9.07
buick_lacrosse,2008,32,8.38
buick_lucerne,2008,42,8.42
cadillac_cts,2008,125,9.03
cadillac_dts,2008,14,8.79
cadillac_escalade,2008,24,7.2
cadillac_srx,2008,22,9.01
cadillac_sts,2008,24,8.8
chevrolet_avalanche,2008,32,9.5
chevrolet_aveo,2008,60,8.5
chevrolet_cobalt,2008,84,8.39
chevrolet_colorado,2008,37,8.17
chevrolet_corvette,2008,75,9.24
chevrolet_equinox,2008,75,8.45
chevrolet_hhr,2008,103,8.73
chevrolet_impala,2008,117,8.28
chevrolet_malibu,2008,191,9.23
chevrolet_silverado_1500,2008,89,8.79
chevrolet_silverado_2500hd,2008,22,8.59
chevrolet_suburban,2008,25,9.17
chevrolet_tahoe,2008,37,8.75
chevrolet_tahoe_hybrid,2008,14,8.64
chevrolet_trailblazer,2008,46,8.4
chevrolet_uplander,2008,13,7.62
chrysler_300,2008,31,9.1
chrysler_aspen,2008,43,8.64
chrysler_crossfire,2008,12,8.54
chrysler_pacifica,2008,20,8.29
chrysler_pt_cruiser,2008,24,7.55
chrysler_sebring,2008,64,8.28
chrysler_town_and_country,2008,133,7.45
dodge_avenger,2008,115,8.24
dodge_caliber,2008,78,8.11
dodge_challenger,2008,17,8.93
dodge_charger,2008,61,8.94
dodge_dakota,2008,14,9.15
dodge_grand_caravan,2008,83,7.17
dodge_magnum,2008,12,9.29
dodge_nitro,2008,44,8.46
dodge_ram_pickup_1500,2008,57,8.38
dodge_ram_pickup_2500,2008,34,7.47
dodge_ram_pickup_3500,2008,27,6.66
ford_edge,2008,89,8.76
ford_escape,2008,141,8.65
ford_escape_hybrid,2008,82,9.02
ford_expedition,2008,39,9.16
ford_explorer,2008,21,8.8
ford_explorer_sport_trac,2008,20,8.59
ford_f-150,2008,51,9.03
ford_f-250_super_duty,2008,55,8.49
ford_f-350_super_duty,2008,41,8.05
ford_f-450_super_duty,2008,28,7.29
ford_focus,2008,192,8.95
ford_fusion,2008,103,9.35
ford_mustang,2008,78,8.69
ford_ranger,2008,37,8.23
ford_shelby_gt500,2008,28,8.75
ford_taurus,2008,75,9.13
ford_taurus_x,2008,60,8.94
gmc_acadia,2008,167,8.45
gmc_envoy,2008,15,8.39
gmc_sierra_1500,2008,73,8.83
gmc_sierra_2500hd,2008,20,8.46
gmc_yukon,2008,22,8.47
gmc_yukon_hybrid,2008,14,8.29
honda_accord,2008,540,8.45
honda_civic,2008,436,8.78
honda_cr-v,2008,228,9.03
honda_element,2008,62,8.66
honda_fit,2008,161,9.05
honda_odyssey,2008,118,8.24
honda_pilot,2008,66,8.32
honda_ridgeline,2008,85,8.94
honda_s2000,2008,12,9.25
hyundai_accent,2008,69,8.44
hyundai_azera,2008,28,8.84
hyundai_elantra,2008,156,9.06
hyundai_entourage,2008,16,8.43
hyundai_santa_fe,2008,128,8.27
